id,name,position,year,Estimate,Std. Error,z value,Pr(>|z|)
5906,Timothy Dolan,Skipper,25,-2.15793205589007,0.729005247458288,-2.96010496963334,0.0030753423807056
5358,Karl McCombie,Skipper,23,-2.16043494044855,0.815114534554407,-2.65046793899901,0.0080380355885934
6282,Matthew Laufer,Skipper,27,-2.16482905204578,0.79336125942808,-2.72868006386696,0.0063588363667008
5796,Samuel Trimble,Skipper,24,-2.16569410207265,0.771484135514757,-2.80717904928484,0.0049977454399583
6374,Lucas Randle,Skipper,27,-2.16584235832479,0.769013098951795,-2.81639202411109,0.0048566365028026
5566,Andrew Patterson,Skipper,26,-2.1701141009768,1.0152706802085,-2.1374734278066,0.0325595047275776
6646,Ryan Wiliani,Skipper,28,-2.17323153644264,0.867375132695159,-2.50552667989206,0.012226917342133
5987,Ethan Smits,Skipper,26,-2.18035400239016,0.84141178692581,-2.59130432479004,0.0095612898261358
6658,Kevin Young,Skipper,28,-2.18309094625045,1.04447166609659,-2.09013898329011,0.0366053167107789
5863,Zachary Brooks,Skipper,23,-2.20103600738944,0.775583949755035,-2.83790814403086,0.0045410248773962
5582,Carly Irwin,Skipper,25,-2.20446673935344,0.721310344000255,-3.05619731879606,0.0022416368188413
5934,Cassius Tossavainen,Skipper,26,-2.2046078649274,0.80617807556809,-2.73464130536405,0.0062448285275214
5261,Helen Livingston,Skipper,22,-2.20468812995413,1.22211895248084,-1.80398816782828,0.0712331618571158
6379,Gianmarco Costa,Skipper,26,-2.21072202623748,0.859947785807718,-2.57076308901828,0.0101474718307345
5885,Matthew Scanlon,Skipper,25,-2.21085542852203,0.773616188202366,-2.85781950046746,0.0042656295973694
6146,Alexander Macaulay,Skipper,24,-2.21453498066997,0.840041732822236,-2.63622019495381,0.008383530951073
5657,Aaron Fellhoelter,Skipper,22,-2.22304880053488,0.918291595227064,-2.42085282288268,0.0154841449411085
6119,Timothy Dolan,Skipper,26,-2.22305749450597,0.779075446490506,-2.85345598365365,0.004324651847071
6216,Nathan Hjort,Skipper,27,-2.23323499699463,0.810381645955093,-2.75578180742557,0.0058552041578908
5585,Jack Bergman,Skipper,24,-2.23870769282709,0.774238011767505,-2.89149803910602,0.0038340998526843
6027,Jack Charlton,Skipper,27,-2.2401066274873,0.755259490422264,-2.96600924039347,0.0030169142496879
6594,Bryce Nill,Skipper,26,-2.25185749601927,1.29486467156509,-1.73906783115603,0.0820228322725415
6271,Camden Wacha,Skipper,27,-2.25414596313436,0.769241409075817,-2.93034922007455,0.0033858126277745
6314,Kallista Halatsis,Skipper,27,-2.25768116384988,0.835316605195361,-2.70278496776902,0.0068761214277325
6588,Anna Servidio,Skipper,26,-2.25851049299353,0.977407618022898,-2.31071505004437,0.0208485993922047
6393,John McCalmont,Skipper,27,-2.26077251098995,0.753623193231406,-2.99987119729708,0.0027009379519691
6412,Miguel Sanchez Navarro,Skipper,27,-2.26173064675077,1.15208427128335,-1.9631642433859,0.049627092667353
6376,Margaret Myers-Aldous,Skipper,25,-2.26212981395398,1.03105493726187,-2.19399542371761,0.0282357385458903
5942,Kurtis Johnston,Skipper,26,-2.26594689880382,0.884202327439016,-2.56270180306679,0.0103861209668128
5294,Rachel Spahn,Skipper,24,-2.2758782994552,0.842784084463715,-2.70042866424488,0.0069250186102259
6202,Juan Moya,Skipper,25,-2.28311013960515,1.01869381345635,-2.2412133159607,0.0250122607179313
6404,River Servia,Skipper,27,-2.2844211788414,0.803740731227938,-2.84223642038311,0.0044798257121573
5359,Sean Kenealy,Skipper,25,-2.28558455779361,0.744777190471456,-3.06881653605262,0.0021490852479712
5817,Talia Trigg,Skipper,26,-2.2919607857441,0.732191578359781,-3.13027471700568,0.0017464289671525
6700,Phoebe Milhollin,Skipper,28,-2.30045189279313,0.807460463370795,-2.8489963250829,0.0043857387050231
6067,Rylie Cataldo,Skipper,27,-2.31045636197603,0.743000788211272,-3.10962841309807,0.0018732283884638
5752,Josh Rosen,Skipper,26,-2.31579636760617,0.73869830023382,-3.13496912998602,0.0017187219686385
